Issue Type,Summary,Description,Story Points,Epic Link,Sprint,Assignee,Priority,Components,Labels
Epic,Foundation Infrastructure,"Set up development environment, project structure, and build pipeline",16,,,,"High",Infrastructure,"epic-001,foundation"
Story,Development Environment Setup,"Initialize React TypeScript project with Vite and essential tooling",5,Foundation Infrastructure,1,,"High",Infrastructure,"story-001,dev-setup"
Task,Initialize React TypeScript App,"Create new React app with TypeScript template and configure basic settings",2,Foundation Infrastructure,1,,"High",Infrastructure,"task-001,react-init"
Task,Configure Vite Build System,"Set up Vite for fast development and optimized production builds",2,Foundation Infrastructure,1,,"High",Infrastructure,"task-002,vite-config"
Task,Setup Development Tools,"Configure ESLint, Prettier, TypeScript compiler and VSCode settings",1,Foundation Infrastructure,1,,"Medium",Infrastructure,"task-003,dev-tools"
Story,Project Structure & Configuration,"Establish scalable project architecture and configuration management",5,Foundation Infrastructure,1,,"High",Infrastructure,"story-002,project-structure"
Task,Create Folder Structure,"Organize components, hooks, utils, and assets in scalable directory structure",1,Foundation Infrastructure,1,,"Medium",Infrastructure,"task-004,folder-structure"
Task,Configure TypeScript Strict Mode,"Enable strict TypeScript checking and configure path aliases",2,Foundation Infrastructure,1,,"High",Infrastructure,"task-005,typescript-config"
Task,Setup Environment Configuration,"Configure environment variables and application settings management",2,Foundation Infrastructure,1,,"Medium",Infrastructure,"task-006,env-config"
Story,Testing Infrastructure,"Set up comprehensive testing framework with unit and integration testing",6,Foundation Infrastructure,2,,"High",Testing,"story-003,testing"
Task,Configure Jest and React Testing Library,"Set up unit testing framework with React component testing utilities",2,Foundation Infrastructure,2,,"High",Testing,"task-007,jest-setup"
Task,Setup E2E Testing with Cypress,"Configure end-to-end testing framework for user workflow validation",2,Foundation Infrastructure,2,,"Medium",Testing,"task-008,cypress-setup"
Task,Create Testing Utilities,"Build reusable test helpers and mock data for consistent testing",2,Foundation Infrastructure,2,,"Medium",Testing,"task-009,test-utils"
Epic,Visual Editor Core,"Implement Node-RED-style visual flow editor with drag-and-drop functionality",42,,,,"High","Editor,UI","epic-002,visual-editor"
Story,Canvas Implementation,"Create React Flow canvas with grid, zoom, pan and node manipulation",8,Visual Editor Core,3,,"High","Editor,Canvas","story-004,canvas"
Task,Setup React Flow Canvas,"Initialize React Flow with basic canvas, controls and background grid",3,Visual Editor Core,3,,"High","Editor,Canvas","task-010,react-flow-init"
Task,Implement Node Rendering,"Create custom node components for AI-Ley node types with ports and styling",3,Visual Editor Core,3,,"High","Editor,Nodes","task-011,node-rendering"
Task,Add Canvas Interactions,"Implement zoom, pan, selection, multi-select and canvas manipulation features",2,Visual Editor Core,3,,"Medium","Editor,Canvas","task-012,canvas-interactions"
Story,Component Palette,"Build draggable component palette with AI-Ley node types and search functionality",8,Visual Editor Core,3,,"High","Editor,Palette","story-005,component-palette"
Task,Create Palette Component,"Build collapsible palette with categorized AI-Ley node types",3,Visual Editor Core,3,,"High","Editor,Palette","task-013,palette-component"
